Species Name,Common Name,Genus,Species,Type,Group,Leaf Arrangement,Leaf Type,Leaf Margin
Acer negundo ,box elder,Acer,negundo ,Deciduous,Maple,Opposite,Simple,Lobed/Serrated
Acer nigrum ,black maple,Acer,nigrum ,Deciduous,Maple,Opposite,Simple,Lobed/Serrated
Acer platanoides,Norway maple,Acer,platanoides,Deciduous,Maple,Opposite,Simple,Lobed/Serrated
Acer rubrum,red maple,Acer,rubrum,Deciduous,Maple,Opposite,Simple,Lobed/Serrated
Acer saccharinum ,silver maple,Acer,saccharinum ,Deciduous,Maple,Opposite,Simple,Lobed/Serrated
Acer saccharum,sugar maple,Acer,saccharum,Deciduous,Maple,Opposite,Simple,Lobed/Serrated
Acer ginnala,Amur maple,Acer,ginnala,Deciduous,Maple,Opposite,Simple,Lobed/Serrated
Aesculus glabra ,Ohio buckeye,Aesculus,glabra ,,,,,
Aesculus hipposcatanum,horse chestnut,Aesculus,hipposcatanum,,,,,
Alnus incana,gray alder,Alnus,incana,,,,,
Alnus rugosa,speckled alder,Alnus,rugosa,,,,,
Amelanchier arborea ,serviceberry,Amelanchier,arborea ,,,,,
Amelanchier canadensis ,Canadian serviceberry,Amelanchier,canadensis ,,,,,
Asimina triloba,pawpaw,Asimina,triloba,Deciduous,Pawpaw,Alternate,Simple,Entire
Betula alleghaniensis,yellow birch,Betula,alleghaniensis,,,,,
Betula nigra,river birch,Betula,nigra,,,,,
Betula papyrifera,paper birch,Betula,papyrifera,,,,,
Carpinus caroliniana ,"ironwood, musclewood",Carpinus,caroliniana ,,,,,
Carya cordiformis ,bitternut hickory,Carya,cordiformis ,Deciduous,Hickory,Alternate,Compound,Serrated
Carya illinoensis ,pecan,Carya,illinoensis ,Deciduous,Hickory,Alternate,Compound,Serrated
Carya ovata,shagbark hickory,Carya,ovata,Deciduous,Hickory,Alternate,Compound,Serrated
Castanea mollissima,Chinese chestnut,Castanea,mollissima,,,,,
Catalpa speciosa,northern catalpa,Catalpa,speciosa,,,,,
Celtis occidentalis ,hackberry,Celtis,occidentalis ,Deciduous,Hackberry,Alternate,Simple,Serrated
Cercis canadensis,red bud,Cercis,canadensis,,,,,
Cladrastis kentukea,American yellowood,Cladrastis,kentukea,,,,,
Cornus drummondii,roughleaf dogwood,Cornus,drummondii,Deciduous,Dogwood,Opposite,Simple,Entire/Slightly Wavy
